Date,Open,High,Low,Close,Adj Close,Volume
2015-10-15,130.000000,130.000000,130.000000,130.000000,116.186127,0
2015-10-16,130.000000,130.000000,130.000000,130.000000,116.186127,300
2015-10-19,130.000000,130.000000,130.000000,130.000000,116.186127,0
2015-10-20,130.000000,130.000000,130.000000,130.000000,116.186127,0
2015-10-21,130.000000,130.000000,130.000000,130.000000,116.186127,0
2015-10-22,150.000000,170.000000,140.000000,169.000000,151.041962,1700
2015-10-23,160.000000,162.000000,153.000000,153.000000,136.742142,1100
2015-10-26,155.000000,155.000000,155.000000,155.000000,138.529617,5500
2015-10-27,155.000000,155.000000,155.000000,155.000000,138.529617,0
2015-10-28,155.000000,155.000000,155.000000,155.000000,138.529617,0
2015-10-29,155.000000,155.000000,153.000000,153.000000,136.742142,22200
2015-10-30,153.000000,153.000000,153.000000,153.000000,136.742142,0
2015-11-02,153.000000,153.000000,153.000000,153.000000,136.742142,0
2015-11-03,157.000000,157.000000,157.000000,157.000000,140.317108,50000
2015-11-04,165.000000,165.000000,160.000000,160.000000,142.998322,1300
2015-11-05,160.000000,160.000000,160.000000,160.000000,142.998322,86000
2015-11-06,160.000000,160.000000,160.000000,160.000000,142.998322,7500
2015-11-09,170.000000,170.000000,160.000000,160.000000,142.998322,73100
2015-11-10,160.000000,160.000000,160.000000,160.000000,142.998322,100000
2015-11-11,155.000000,160.000000,155.000000,160.000000,142.998322,602500
2015-11-12,170.000000,170.000000,170.000000,170.000000,151.935715,120200
2015-11-13,170.000000,170.000000,170.000000,170.000000,151.935715,764000
2015-11-16,170.000000,170.000000,170.000000,170.000000,151.935715,200000
2015-11-17,171.000000,171.000000,170.000000,170.000000,151.935715,600100
2015-11-18,164.000000,164.000000,161.000000,161.000000,143.892044,200
2015-11-19,170.000000,170.000000,170.000000,170.000000,151.935715,30700
2015-11-20,173.000000,173.000000,173.000000,173.000000,154.616928,400100
2015-11-23,173.000000,173.000000,173.000000,173.000000,154.616928,166000
2015-11-24,173.000000,173.000000,173.000000,173.000000,154.616928,0
2015-11-25,160.000000,160.000000,160.000000,160.000000,142.998322,400
2015-11-26,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-11-27,164.000000,164.000000,164.000000,164.000000,146.573273,200
2015-11-30,164.000000,164.000000,164.000000,164.000000,146.573273,0
2015-12-01,165.000000,165.000000,165.000000,165.000000,147.467010,100000
2015-12-02,162.000000,162.000000,162.000000,162.000000,144.785797,200000
2015-12-03,160.000000,160.000000,160.000000,160.000000,142.998322,100
2015-12-04,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-07,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-08,160.000000,160.000000,160.000000,160.000000,142.998322,0
